100
36 26
-98 40
-43 42
-11 78
22 86
91 -82
82 14
-80 35
-11 100
76 -2
-73 -37
100 400
33 2
86 -42
4 16
10 64
-57 27
-40 7
43 51
-72 31
-14 99
-96 -18
-55 -33
67 -66
-78 39
-29 53
-50 -64
25 -82
16 92
-1 -1
56 -88
-29 -45
44 34
-60 21
-10 -16
-100 -34
-59 -31
-15 -56
-52 -40
99 73
-10 -12
-9 14
16 100
-28 -96
-74 -56
-83 -29
92 -70
7 -81
-7 12
98 16
-90 37
-71 46
-82 55
-89 -88
-19 98
-20 -80
95 20
47 -77
-79 -96
-17 9
-3 57
-3 -35
12 -19
89 -20
5 -33
62 66
81 60
50 64
-88 -84
93 -35
44 47
58 -75
-13 -41
-35 37
-34 -78
4 8
22 -28
89 33
7 -27
-87 -46
-100 93
81 11
-94 79
-42 42
-21 59
-9 -24
100 70
2 -38
-15 -6
-54 -19
34 41
50 13
39 -18
68 -4
-76 -84
-93 13
-21 -2
87 41
46 -5
1 4
